[2021-11-13T23:33:00.000] [WARN] peligro - Error en usuario y/o contraseña
[2021-11-14T11:37:31.063] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T11:37:41.054] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T11:42:09.961] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T11:43:02.121] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:05:02.119] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:05:09.770] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:11:22.993] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:11:27.317] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:12:17.875] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:13:21.738] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:13:35.872] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:15:22.978] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:17:24.824] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:18:25.130] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:19:39.723] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:21:02.087] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:25:19.639] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:25:53.300] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:26:39.479] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:27:13.700] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:30:28.115] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:30:54.933] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:54:01.553] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:54:03.085] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:56:48.060] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:57:24.793] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:59:43.561] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:59:50.641] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T12:59:55.972] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T13:01:01.607] [WARN] peligro - this.mongoModel.getByEmail is not a function
[2021-11-14T13:03:26.230] [WARN] peligro - data and hash arguments required
[2021-11-14T13:03:44.099] [WARN] peligro - data and hash arguments required
[2021-11-14T13:04:20.661] [WARN] peligro - data and hash arguments required
[2021-11-14T13:04:28.472] [WARN] peligro - data and hash arguments required
